seminvariant_Adj	seminvariant
semiperfect_Adj	semiperfect
semiprimitive_Adj	semiprimitive
semiregular_Adj	semiregular
semisimple_Adj	semisimple
semistable_Adj	semistable
separable_Adj	separable
separate_Adj	separate
sequential_Adj	sequential
serious_Adj	serious
sesquilinear_Adj	sesquilinear
'set-level_Adj'	set-level
set_Adj	set
setminus_Adj	setminus
seventh_Adj	seventh
several_Adj	several
short_Adj	short
sided_Adj	sided
signal_Adj	signal
significant_Adj	significant
silent_Adj	silent
similar_Adj	similar
simple_Adj	simple
simplicial_Adj	simplicial
simultaneous_Adj	simultaneous
single_Adj	single
singular_Adj	singular
size_Adj	size
skew_Adj	skew
slack_Adj	slack
slight_Adj	slight
small_Adj	small
smart_Adj	smart
smooth_Adj	smooth
snub_Adj	snub
solenoidal_Adj	solenoidal
solid_Adj	solid
solitary_Adj	solitary
solvable_Adj	solvable
sparse_Adj	sparse
spatial_Adj	spatial
special_Adj	special
specific_Adj	specific
spectral_Adj	spectral
sphenic_Adj	sphenic
spherical_Adj	spherical
splay_Adj	splay
square_Adj	square
stable_Adj	stable
standard_Adj	standard
standardized_Adj	standardized
static_Adj	static
stationary_Adj	stationary
statistical_Adj	statistical
stochastic_Adj	stochastic
straightforward_Adj	straightforward
strange_Adj	strange
strategic_Adj	strategic
strict_Adj	strict
striking_Adj	striking
strong_Adj	strong
structural_Adj	structural
subfinite_Adj	subfinite
subject_Adj	subject
sublime_Adj	sublime
submodule_Adj	submodule
subring_Adj	subring
substitutable_Adj	substitutable
substructural_Adj	substructural
subtle_Adj	subtle
subuniverse_Adj	subuniverse
successive_Adj	successive
such_Adj	such
sufficient_Adj	sufficient
suitable_Adj	suitable
super_Adj	super
supercommutative_Adj	supercommutative
superfluous_Adj	superfluous
superior_Adj	superior
supersolvable_Adj	supersolvable
sure_Adj	sure
surface_Adj	surface
surjective_Adj	surjective
surplus_Adj	surplus
symbolic_Adj	symbolic
symmetric_Adj	symmetric
symplectic_Adj	symplectic
synthetic_Adj	synthetic
tall_Adj	tall
tame_Adj	tame
tangent_Adj	tangent
tangential_Adj	tangential
taxicab_Adj	taxicab
tempting_Adj	tempting
terminal_Adj	terminal
ternary_Adj	ternary
territorial_Adj	territorial
tetrahedral_Adj	tetrahedral
tetrakis_Adj	tetrakis
theoretic_Adj	theoretic
theoretical_Adj	theoretical
theoritic_Adj	theoritic
thermodynamic_Adj	thermodynamic
thin_Adj	thin
third_Adj	third
three_dimensional_Adj	three-dimensional
timelike_Adj	timelike
top_Adj	top
topological_Adj	topological
toral_Adj	toral
toric_Adj	toric
toroidal_Adj	toroidal
torsionless_Adj	torsionless
total_Adj	total
totative_Adj	totative
touchable_Adj	touchable
traditional_Adj	traditional
transcendental_Adj	transcendental
transendental_Adj	transendental
transfinite_Adj	transfinite
transitive_Adj	transitive
trapezoidal_Adj	trapezoidal
triacontahedral_Adj	triacontahedral
triangulable_Adj	triangulable
triangular_Adj	triangular
tridual_Adj	tridual
trigonal_Adj	trigonal
trigonometric_Adj	trigonometric
trilinear_Adj	trilinear
trimagic_Adj	trimagic
trinomial_Adj	trinomial
triple_Adj	triple
trirectangular_Adj	trirectangular
trivial_Adj	trivial
tropical_Adj	tropical
true_Adj	true
truncate_Adj	truncate
truncated_Adj	truncated
twisted_Adj	twisted
typal_Adj	typal
typeless_Adj	typeless
typical_Adj	typical
'u-small_Adj'	u-small
ultrametric_Adj	ultrametric
ultraproduct_Adj	ultraproduct
unable_Adj	unable
unaltered_Adj	unaltered
unary_Adj	unary
unbiased_Adj	unbiased
unbounded_Adj	unbounded
unchanged_Adj	unchanged
uncountable_Adj	uncountable
uncurrying_Adj	uncurrying
underlying_Adj	underlying
undirected_Adj	undirected
unfeasible_Adj	unfeasible
unfortunate_Adj	unfortunate
unified_Adj	unified
uniform_Adj	uniform
uniformizable_Adj	uniformizable
unimodal_Adj	unimodal
unimodular_Adj	unimodular
